OBJECTID,Column2,Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date_,EandR,Map,USGS7_5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species,Ammonite_,Type_,COUNT,N_F
917,8946,435,2998,USA,WY,,Cretaceous,From third from lowest visible sandstone in Steele Mesaverde transition zone,Campanian,NA,,"Center N1/2 sec. 22, T. 22 N., R. 78 W. MB-O","Nucula sp., Inoceramus sp., Cymella sp., Tellina equilateralis Meek & hayden, Cymbophora sp., Baculites n. sp., Placenticeras aff. P. benning Stephenson",,A. D. Zapp,22407,"OF-61-3D, 5D",,,41.86783,-106.1603,,,02/18/2014,"Nucula sp., Inoceramus sp., Cymella sp., Tellina equilateralis Meek & hayden, Cymbophora sp., Baculites n. sp., Placenticeras aff. P. benning Stephenson",,Steele,Placenticeras aff. P. benning Stephenson,Y,Ammonite,1,F
918,2414,249,4255,USA,WY,Johnson,Cretaceous,"Cody Shale, from silty shale unit containing gray and orange limestone concretions; 1,980 feet above top of Niobrara Member",Campanian,NA,,"SW/4 SW1/4 sec. 24, T. 44 N., R. 82 W.  . Same locality as D4253","Nuculana sp., Ostrea sp., Lucina subundata Hall & Meek, Baculites sp., Placenticeras aff. P. syrtale (Morton)",,"J. R. Gill, W. A. Cobban",23171,,,,43.76052,-106.6525,,,02/18/2014,"Nuculana sp., Ostrea sp., Lucina subundata Hall & Meek, Baculites sp., Placenticeras aff. P. syrtale (Morton)",,Cody,Placenticeras aff. P. syrtale ,Y,Ammonite,1,F
919,9034,899,3048,USA,WY,Carbon,Cretaceous,Same horizon as loc. 3. From limestone concretionary zone 702 feet below top of Steele shale.,"Campanian, Middle  80.04 MY",NA,,"NW1/4 sec. 34, T. 19 N., R. 86 W.","Ostrea sp., Baculites obtusus Meek Inoceramus sp., Pteria sp., Baculites aff. B. aquilaensis Reeside, Placenticeras cf. P. meeki Boehm",,J.H. Smith,1961,0,,,41.58049,-107.06998,PP 667,,02/18/2014,"Ostrea sp., Baculites obtusus Meek Inoceramus sp., Pteria sp., Baculites aff. B. aquilaensis Reeside, Placenticeras cf. P. meeki Boehm",,Steele,Placenticeras cf. P. meeki Boehm,Y,Ammonite,1,F
920,2552,271,4177,USA,WY,Washakie,Cretaceous,"Cody Shale, from upper part about 150 feet below thick gray bentonite and bentonitic shale unit",Campanian,NA,,"NE1/4 sec. 36, T. 47 N., R. 90 W","Ostrea sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",,"J. R. Gill, R. Vaughn",1962,,,,44.00555,-107.59148,,,02/18/2014,"Ostrea sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",,Cody,Placenticeras cf. P. syrtale ,Y,Ammonite,1,F
921,2892,376,4187,USA,WY,Big Horn,Cretaceous,From calcareous sandstone concretions at top of Cody Shale,Campanian,NA,,"NE1/4 SE1/4 NW1/4 sec. 19, T. 49 N., R. 91 W. Same locality as D4186","Thyasira n. sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",,"J. R. Gill, R. Vaughn",7/28/1962,,,,44.20699,-107.8341,,,02/18/2014,"Thyasira n. sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",,Cody,Placenticeras cf. P. syrtale ,Y,Ammonite,1,F
922,574,420,2221,USA,WY,Sweetwater,Upper Cretaceous,From sandstone about 100 - 125 feet below top of Blair formation.,Campanian,NA,,"South of Winton in the SE1/4 SE1/4 sec. 5, T. 20 N., 104 W.","Cymella montanensis, Cardium (Ethmocardium) whitei, Baculites haresi, Baculites thomi, Placenticeras meeki",Scaphites hippocrepis,J. H. Smith,1959,,,,41.7346,-109.1581,PP 619,,02/18/2014,"Cymella montanensis, Cardium (Ethmocardium) whitei, Baculites haresi, Baculites thomi, Placenticeras meeki",,Blair,Placenticeras meeki,Y,Ammonite,1,N
923,525,351,2598,USA,WY,Sweetwater,Upper Cretaceous,"From 140-160 feet below top of Blair formation (1,040-1, 060 feet above base); 100 feet above top of main Scaphites hippocrepis zone.",Campanian,NA,NEBRASCENSIS,"NW1/4 sec. 6, T. 18 N., R. 104 W., ","Inoceramus balticus Boehm, Baculites haresi Reeside, Scaphites hipppocrepis (DeKay), Scaphites aquilaensis Reeside, Placenticeras meeki Boehm, Eutrephoceras alcesense Reeside",,J. H. Smith,1960,0,,,39.9379,-105.2582,PP 619,,02/18/2014,"Inoceramus balticus Boehm, Baculites haresi Reeside, Scaphites hipppocrepis (DeKay), Scaphites aquilaensis Reeside, Placenticeras meeki Boehm, Eutrephoceras alcesense Reeside",,Blair,Placenticeras meeki Boehm,Y,Ammonite,1,F
924,2212,229,4186,USA,WY,Big Horn,Cretaceous,"Cody Shale, from orange - brown sandy limestone concretions 1,340 feet above top of Niobrara Member and 30 feet below base of Parkman Sandstone",Campanian,NA,,"NE1/4 SE1/4 NW1/4 sec. 19, T. 49 N., R. 91 W.","Baculites sp., Placenticeras meeki Boehm",,"J. R. Gill, R. Vaughn",7/28/1962,,,,44.20699,-107.8341,,,02/18/2014,"Baculites sp., Placenticeras meeki Boehm",,Cody,Placenticeras meeki Boehm,Y,Ammonite,1,F
925,2881,375,1434,USA,WY,Big Horn,Cretaceous,"From calc. septarian concretions that forming a ledge 1,950 feet above base of Cody shale.","Campanian, Lower about 81.7 MY",NA,,"NE¼NW¼ sec. 29, T. 55 N., R. 95 W. Same locality as D 1433.","Inoceramus aff. I. subcompressus Meek & Hayden, Placenticeras meeki Boehm, Scaphites hippocrepis (Dekay), Baculites haresi Reeside.",,Robert L. Rioux,1957,,North Emblem Reservoir,,44.71368,-108.31747,,,02/18/2014,"Inoceramus aff. I. subcompressus Meek & Hayden, Placenticeras meeki Boehm, Scaphites hippocrepis (Dekay), Baculites haresi Reeside.",,Cody,Placenticeras meeki Boehm,Y,Ammonite,1,F
926,80,76,1575,USA,WY,Big Horn,Cretaceous,Cody shale,Campanian,NA,,"Sec. 27, T. 54 N., R. 95 W ",Placenticeras planum,,H. A. Tourtelot,1956,,,,44.62917,-108.27875,,,02/18/2014,Placenticeras planum,,Cody,Placenticeras planum,Y,Ammonite,1,F
