OBJECTID,Column2,Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date_,EandR,Map,USGS7_5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species,Ammonite_,Type_,COUNT,N_F
1,1062,753,4135,Canada,Alberta,Alberta,Cretaceous,"Pakowki Shale, from large septarian limestone concretions in lower part (Canada Geol. Survey Mem. 221, p. 38, 2.5 - foot unit)","Campanian, Middle  80.04 MY",NA,,"East side of Miners Coulee inLsd. 13 sec. 14, T. 1, R. 11, W. 4 th Mer. ",Baculites obtusus Meek?,Baculites obtusus,J. R. Gill,7/28/1963,,,,49.1019752,-111.4108943,,,02/18/2014,Baculites obtusus Meek?,,Pakowki,Baculites obtusus Meek?,Y,Ammonite,1,NA
2,655,750,9933,USA,AR,Sevier,Cretaceous,Ozan,Campanian,NA,,"SW1/4 sec. 24, T. 11 S. , R. 29 W.  Beside White Cliff Road",Baculites,,"Clardy, Burkholder Cobban",1974,0,Ben Lomand,,33.78635,-94.05407,,,02/18/2014,Baculites,,Ozan,Baculites,Y,Ammonite,1,NA
3,91,52,8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,NA,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",26941,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",,Annona,Baculites ,Y,Ammonite,1,NA
4,657,752,9939,USA,AR,Little River,Cretaceous,"Ozan Formation, from a hard chalky limestone bed",Campanian,NA,,"North side of Foreman- Arkinda road in the SW1/4SE1/4NW1/4 sec. 18, T. 12 S. , R. 32 W. ",Baculites taylorensis,,B.F.Clardy,27700,0,Foreman,,33.72933,-94.45646,,,02/18/2014,Baculites taylorensis,,Ozan,Baculites taylorensis,Y,Ammonite,1,NA
5,10,340,9210,USA,AR,Howard,Cretaceous ,Float from lower part of Annona Chalk but higher thanD9209,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona,Heteromorph ammonoids ,Y,Ammonite,1,NA
6,11,754,9209,USA,AR,Howard,Cretaceous ,Phosphatic nodule zone near base of Annona Chalk,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South   ,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona,Heteromorph ammonoids ,Y,Ammonite,1,NA
7,660,1043,9211,USA,AR,Howard,Cretaceous ,Upper 2 or 3 ft of Ozan (?) Fm,,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Ozan,Heteromorph ammonoids ,Y,Ammonite,1,NA
8,9,52,8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,NA,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",26941,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",,Annona,Nostoceras,Y,Ammonite,1,NA
9,17,385,2969,USA,CO,Huerfano,Cretaceous,From gray ls concrs. 2' below base of Apache sandstone,,NA,,"SE1/4 sec. 8, T. 27 S., R. 68W.",Baculites,,W. A. Cobban,5/25/1961,0,,,37.71225,-105.0192,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
10,20,765,3462,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"North of N. Apache Creek on W facing hill in SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Inoceramus",,G.R. Scott,9/15/1961,0,"Walsenburg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Baculites, Inoceramus",,Apache,Baculites,Y,Ammonite,1,F
11,23,772,4862,USA,CO,Fremont,Cretaceous,"Pierre Shale, 136' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section",Baculites,,"Scott, Burkholder",23807,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
12,24,776,4859,USA,CO,Fremont,Cretaceous,"Pierre Shale, 72-92' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section",Baculites,,Gill & others,23807,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
13,32,851,1286,USA,CO,Huerfano,Cretaceous,"Pierre shale, from tepee limestone 25' below Apache sandstone member.",,NA,,"1.5 miles southwest of Badito, in E½ sec. 7, T. 27 S., 68 W.",Baculites,,W. A. Cobban,5/25/1956,0,,,37.71663,-105.03708,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
14,33,854,13603,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from uppermost part of Apache Ss Mbr-from a few feet of sandy beds overlying the prominent orange-yellow ls. Concretion bed",,NA,,"Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.",Baculites,,Cobban,10/14/1994,0,Northwest Pueblo  ,,38.32908,-104.6192,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
15,162,30,1448,USA,CO,Huerfano,Cretaceous,Apache sandstone Member of Pierre shale.,,NA,,"Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites",,"W. A. Cobban, T. G. McLaughlin",5/24/1956,,,,37.83857,-104.8783,,,02/18/2014,"Inoceramus, Scaphites, Baculites",,Apache,Baculites,Y,Ammonite,1,F
16,191,764,3461,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"SE1/4 sec. 30, T. 25 S., R. 67 W.","Pteria, Baculites, Inoceramus",,G.R. Scott,9/15/1961,0,"Walsenburg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Pteria, Baculites, Inoceramus",,Apache,Baculites,Y,Ammonite,1,F
17,211,766,3463,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Pteria",,G.R. Scott,9/15/1961,0,"Walseneurg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Baculites, Pteria",,Apache,Baculites,Y,Ammonite,1,F
18,221,771,4861,USA,CO,Fremont,Cretaceous,"Pierre Shale, 112' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Pteria, Baculites",,Gill & others,23807,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,"Pteria, Baculites",,Apache,Baculites,Y,Ammonite,1,F
19,271,793,4858,USA,CO,Fremont,Cretaceous,"Pierre Shale, from a ferruginous layer 61' above Apache sandstone Member",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Inoceramus, Baculites",,"Gill, Scott, Butkholder",23807,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,"Inoceramus, Baculites",,Apache,Baculites,Y,Ammonite,1,F
20,605,305,58,USA,CO,Jefferson,Cretaceous,Conspicuous ledges in yellow chalk about 50' below top of Niobrara formation,Campanian,NA,,"East-facing hillside 0.7 mile north of Kassler, near center of the SE1/4 NE1/4 sec.27, T.6S., R.69W.",Baculites,,"G.R. Scott, W.A. Cobban",19885,"EG-54-3D, 4D",Littleton ,,39.50172,-105.09402,,,02/18/2014,Baculites,,Niobrara,Baculites,Y,Ammonite,1,F
21,646,1058,4367,USA,CO,Boulder,Cretaceous,Upper part of Niobrara Formation.,,NA,,"SW¼SW¼ sec. 30, T. 2 N., R. 70 W. ","Baculites, Inoceramus",,G.R. Scott,20368,,Boulder SE,,40.10392,-105.27972,,,02/18/2014,"Baculites, Inoceramus",,Niobrara,Baculites,Y,Ammonite,1,F
22,725,861,62,USA,CO,Jefferson,Cretaceous,"Pierre shale, lower part",,NA,,"Just north of Deer Creek road, in the NW1/4 SW1/4 SW1/4 sec.3, T.6S., R.69W. ",Baculites,,G.R. Scott,10/00/1954,"EG-54-3D, 4D",Littleton ,,39.5538,-105.1103,,,02/18/2014,Baculites,,Pierre,Baculites,Y,Ammonite,1,F
23,730,866,1799,USA,CO,Grand,Cretaceous,"Pierre shale, lower part",,NA,,"West side of U.S. Highway 40, in NW1/4 SE1/4 sec. 12, T. 2 N., R. 81 W., ",Baculites,,"G.R. Scott, W. A. Cobban",21525,,Kremling 3 ,Hinman Reservoir,40.1613,-106.4136,,,02/18/2014,Baculites,,Pierre,Baculites,Y,Ammonite,1,F
24,5371,1054,2532,USA,CO,Dolores,Cretaceous,Upper part of Mancos shale below Mesaverde sandstone,Campanian,NA,,"Sec. 30, T. 42 N., R. 13 W.","Inoceramus, Baculites",,"A. D. Zapp, W. A. Cobban",5/13/1960,F-60-11D,,,37.87436,-108.34744,,,02/18/2014,"Inoceramus, Baculites",,Mancos,Baculites,Y,Ammonite,1,F
25,7241,860,4863,USA,CO,Fremont,Cretaceous,"Pierre Shale, higher than D4862",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W Near top of ridge about half a mile northeast of D4856","Inoceramus, Baculites",,Scott & Cobban,23807,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,"Inoceramus, Baculites",,Pierre,Baculites,Y,Ammonite,1,F
26,8711,911,4855,USA,CO,Fremont,Cretaceous,"Sharon Springs Member, uppermost limestones concretions about 3' below top of member",Campanian,NA,,"Four miles east of canon city, a little north of Highway 50, SE¼NE¼SE¼ sec. 25, T.18S, R.70W.",Baculites,,J. R. Gill ,4/23/1965,,Canon City ,,38.4512,-105.16417,,,02/18/2014,Baculites,,Sharon Springs,Baculites,Y,Ammonite,1,F
27,841,792,1314,USA,CO,Fremont,Cretaceous,"Pierre shale, from 5-10' below top of Sharon Springs member.",Campanian,NA,,"North of U. S. Highway 50 a few miles east of Canon City, Col°SE¼NE¼SE¼ sec. 25, T. 18 S., R. 70 W., Fremont Co., Colo. Same locality as D 1313.",Baculites ,"Mammites, Morrowites","G.R. Scott, W. A. Cobban",4/29/1957,0,,,38.45138,-105.164,,,02/18/2014,Baculites ,,Sharon Springs,Baculites ,Y,Ammonite,1,F
28,1085,1045,641,USA,CO,Jefferson,Cretaceous,Upper part of  Smokey Hill chalk.,,NA,,"Phot°24vv.SW1/4NE1/4NE1/4sec.8,T.3 S.,R.70W.","Baculites ,Stramentum",,R. Van Horn,11/26/1955,,Golden ,Golden,39.8098,-105.2459,,,02/18/2014,"Baculites ,Stramentum",GF-23,Smoky Hill,Baculites ,Y,Ammonite,1,F
29,8031,390,3004,USA,CO,Custer,Cretaceous,From large gray septarian ls. concrs. at top of main buttress at Sharon Springs member of Pierre shale ,Campanian,NA,,"About 1/2 miles southwest of switchback on State Route 96, 1 1/2 miles east of Wetmore in SW1/4 sec. 12, T. 21 S., R. 69 W.","Inoceramus, Baculites ",,W. A. Cobban,6/14/1961,0,,Wetmore,38.2384,-105.0542,Buelah NE,,02/18/2014,"Inoceramus, Baculites ",,Sharon Springs,Baculites ,Y,Ammonite,1,F
30,6612,428,1735,USA,CO,Jefferson,Cretaceous,From soft ferruginous concretions in lower part of Pierre shale,"Campanian, Middle  80.04 MY",NA,,"Cutbank NW1/4, NE1/4, SW1/4, sec. 36, T. 4 S., R. 70 W.","Pteria n.sp., Baculites aff. B.obtusus (Meek)",,"G.R. Scott, W. A. Cobban",6/18/1958,EG-60-3D,Morrison,Morrison,39.6593,-105.1786,,"The ammonite is an undescribed species a little younger than B. Obtusus but older then B. gregoryensis (Cobban, W. A., 3/15/1960). For the zonation of the Cretaceous Rocks on the Western Interior, See Geol. Soc. America Bull., v. 63, no. 10, p. 1011-1044 ",02/18/2014,"Pteria n.sp., Baculites aff. B.obtusus Meek",,Pierre,Baculites aff. B.obtusus ,Y,Ammonite,1,F
31,850,821,1989,USA,CO,Fremont,Cretaceous,"Pierre shale, from limestone concretions 86' below top of Sharon Springs member.","Campanian, Middle  80.04 MY",NA,?,"Northwest of Oil Creek road 3.7 miles northeast of center of Canon City in SE1/4 SW1/4 sec. 10, T. 18 S., R. 70 W.",Baculites aff.obtusus                ,,"W.A. Cobban, G.R. Scott",21531,,,Canon City,38.49227,-105.21154,I-937,,02/18/2014,Baculites aff.obtusus                ,,Sharon Springs,Baculites aff.obtusus                ,Y,Ammonite,1,F
32,510,673,14530,USA,CO,Montrose,Cretaceous,"Mancos Shale, Prairie Canyon  Mbr",Campanian,NA,,SE SW SW 21-49N-8W ,"Baculites aquilaensis, Scaphites hippocrepis; Cataceramus balticus",,David Noe,5/25/2006,,,Montrose East,38.488705,-107.778239,,,02/18/2014,,DN064,Mancos,Baculites aquilaensis,Y,Ammonite,1,F
33,512,675,14532,USA,CO,Montose,Cretaceous,"Mancos Shale, Prairie Canyon  Mbr",Lower Campanian,NA,,n NW SE 22-49N-8W,"Baculites aquilaensis, Ichthyoductes scales, Scaphites hippocrepis; Cataceramus balticus",,David Noe,38874,,,Montrose East,38.405227,-107.749321,,,02/18/2014,,DN085,Mancos,Baculites aquilaensis,Y,Ammonite,1,F
34,10261,345,2418,USA,CO,Moffat,Upper Cretaceous,"From 1,065 feet below base of Ilesformation.","Campanian, Lower about 81.7 MY",NA,,"SW1/4 sec. 7, T. 10 N., R. 100 W.","Inoceramus balticus Bohm, Baculites aquilaensis Reeside, Glyptoxoceras rubeyi Reeside, Glyptoxoceras novimexicanus (Reeside), Scaphies hippocrepis (DeKay)",Scaphites hippocrepis,J. H. Smith,1959,0,,,40.8377,-108.6809,PP 619,,02/18/2014,"Inoceramus balticus Bohm, Baculites aquilaensis Reeside, Glyptoxoceras rubeyi Reeside, Glyptoxoceras novimexicanus (Reeside), Scaphies hippocrepis (DeKay)",,Iles,Baculites aquilaensis Reeside,Y,Ammonite,1,F
35,6302,927,3476,USA,CO,Pueblo,Upper Cretaceous,Smoky Hill shale member. Niobrara fm.,Campanian,NA,,"East flank of Rock Canyon arch in gully in NE 1/4 NE 1/4 sec.32, T.20S., R.65W.","Inoceramus (Inoceramus) sp.,  Ostrea sp., Baculites asper Morton",,G.R. Scott,7/29/1961,0,Pueblo 1 SW ,,38.27029,-104.68354,"PP 454-L, Bull 1262, I-408",,02/18/2014,"Inoceramus (Inoceramus) sp.,  Ostrea sp., Baculites asper",,Niobrara,Baculites asper Morton,Y,Ammonite,1,F
36,600,584,7059,USA,CO,Moffat,Cretaceous,"Mancos Shale, about 400 ft below Morapos Sandstone Member.","Campanian, middle",NA,,"SW1/4SW1/4 sec. 14, T. 5 N., R 93 W.",Baculites asperiformis Meek.,,"Gill, Blanchard and Pipiringos",7/29/1969,CD-69-16D,Axial ,,40.37829,-107.80732,,,02/18/2014,Baculites asperiformis Meek.,BH-23-69,Morapos,Baculites asperiformis Meek.,Y,Ammonite,1,F
37,601,585,7159,USA,CO,Moffat,Cretaceous,"Mancos Shale, about 400 ft below Morapos Sandstone Member.","Campanian, middle",NA,,"SW1/4SW1/4 sec. 14, T. 5 N., R 93 W.",Baculites asperiformis Meek.,,"Gill, Blanchard and Pipiringos",7/29/1969,OF-69-18D,Axial ,,40.37849,-107.80781,MF-1548,,02/18/2014,Baculites asperiformis Meek.,,Morapos,Baculites asperiformis Meek.,Y,Ammonite,1,F
38,604,630,7154,USA,CO,Moffat,Cretaceous,"Mancos Shale, from large orange-weathering sandy limestone concretions in sandy shale unit above D7151 and below Morapos Sandstone Member.","Campanian, middle",NA,,"NE1/4NE1/4 sec. 26, T. 5 N., R 93 W",Baculites asperiformis Meek.,,Gill and Blanchard,7/29/1969,OF-69-18D,Axial ,,40.36037,-107.79363,,,02/18/2014,Baculites asperiformis Meek.,,Morapos,Baculites asperiformis Meek.,Y,Ammonite,1,F
39,8291,649,8156,USA,CO,Mesa,Cretaceous,"Mancos Shale, from red-weathering inronstone concretions about 100 ft above base of Sharon Springs Member,","Campanian, middle",NA,,"Center of the SW1/4SW1/4 sec. 34, T. 9 S, R. 100 W. Same locality as D1855","Nuculana sp., Baculites asperiformis Meek? (juveniles)",,McHargue,7/21/1971,OF-71-11D,Corcoran Point,,39.22594,-108.54559,,,02/18/2014,"Nuculana sp., Baculites asperiformis Meek? (juveniles)",,Sharon Springs,Baculites asperiformis Meek? ,Y,Ammonite,1,F
40,7323,868,5402,USA,CO,Grand,Cretaceous,"Pierre Shale, lower part",,NA,,"E½NE¼ sec. 36, T. 1½ N., R. 81 W.","Inoceramus cf. I. subcompressus Meek & Hayden, Cymbophora sp., Baculites cf. B. gilberti Cobban, Scaphites sp.",,G. A. Izett,1966,CD-66-24D,Kremmling,Kremmling,40.0893,-106.412,,,02/18/2014,"Inoceramus cf. I. subcompressus Meek & Hayden, Cymbophora sp., Baculites cf. B. gilberti Cobban, Scaphites sp.",,Pierre,Baculites cf. B. gilberti Cobban,Y,Ammonite,1,F
41,727,863,265,USA,CO,Jefferson,Cretaceous,"Pierre shale, lower part","Campanian, Middle  80.04 MY",NA,,"NE 1/4 NE 1/4 sec.27, T.6S., R.69W.",Baculites cf. B. obtusus,,G.R. Scott,1/15/1955,EG-55-1D,Lockett ,,39.50503,-105.09482,,,02/18/2014,Baculites cf. B. obtusus,,Pierre,Baculites cf. B. obtusus,Y,Ammonite,1,F
42,116113,728,3266,USA,CO,Otero,Cretaceous,"Niobrara Fm., Smoky Hill shale member","Campanian, Lower about 81.7 MY",NA,,"Small bedrock spur in NE1/4SW1/4NW1/4 sec. 23, T. 23 S., R. 59 W. chalky limestone 84' below top","Inoceramus sp., Ostrea Baculites cf. haresi, Scaphites cf. hippocrepis, Haresiceras placentiforme ",Scaphites hippocrepis,W. A. Cobban and G.R. Scott ,22625,0,Elder ,,38.0357,-103.9835,"PP 450 B, PP 454-I, Sp.Paper in Paleo #64",,02/18/2014,"Inoceramus sp., Ostrea Baculites cf. haresi, Scaphites cf. hippocrepis, Haresiceras placentiforme ",,Niobrara,Baculites cf. haresi,Y,Ammonite,1,F
43,6711,758,8809,USA,CO,Fremont,Cretaceous,Pierre Shale,"Campanian, Middle  80.04 MY",NA,,"SW1/4NW1/4SE1/4 sec. 21, T. 18 S., R. 69 W. , in bank of Sixmile Creek",Baculites cf. obtusus,,G.R. Scott,5/27/1971,,Florence,Florence,38.4663,-105.1164,I-937,,02/18/2014,Baculites cf. obtusus,,Pierre,Baculites cf. obtusus,Y,Ammonite,1,F
44,676,767,1733,USA,CO,Boulder,Cretaceous,Pierre shale from brown limestone concretions in dark gray silty shale,"Campanian, Middle  80.04 MY",NA,,"SE1/4 sec. 1, T. 1 N., R. 71 W. ",Baculites cf.obtusus member,,G.R. Scott,21311,,Boulder ,,40.07683,-105.28794,MAP I-439,,02/18/2014,Baculites cf.obtusus member,3,Pierre,Baculites cf.obtusus member,Y,Ammonite,1,F
45,1061,720,7272,USA,CO,Las Animas,Cretaceous,"Middle Shale unit, Smoky Hill Shale Mbr.",Campanian,NA,,"Cut on side of Hwy 160 1.3 miles west of bridge over Frijoles Creek, Las Animas Co., SE1/4 SW1/4 sec. 34, T. 32 S., R. 61 W.",Baculites codyensis,,G.R. Scott ,10/19/1964,,Trinidad 2,,37.20785,-104.22221,,,02/18/2014,Baculites codyensis,,Smoky Hill,Baculites codyensis,Y,Ammonite,1,F
46,6331,930,3495,USA,CO,Pueblo,Upper Cretaceous,Smoky Hill shale member. Niobrara fm.,Campanian,NA,,"South valley wall of ArKS River SE 1/4 NE 1/4 sec. 34, and SW 1/4 NW 1/4 sec.35, T.20S., R.65W.","Inoceramus platinus Logan, Baculites codyensis",,G.R. Scott,8/2/61 & 3/00/61,0,Pueblo 1 SW ,,38.26784,-104.64526,"PP 454-L, Bull 1262, I-408",,02/18/2014,"Inoceramus platinus Logan, Baculites codyensis",,Niobrara,Baculites codyensis,Y,Ammonite,1,F
47,10642,889,14670,USA,CO,Montrose,Cretaceous,Praire Canyon Member,Campanian,NA,,"NE1/4 NE1/4 sec. 31, T. 15S., R. 44W. ","Scaphites ventrcosus?, Inoceramus sp., Baculites codyensis",,Noe,7/14/2007,,,Olathe NW,38.64685,-107.91409,,,02/18/2014,,DN-261,Praire Canyon,Baculites codyensis,Y,Ammonite,1,F
48,5061,669,4311,USA,CO,Montrose,Cretaceous,"Mancos Shale, near top. From landslide debrius.",Campanian,NA,,"SE¼SW¼ sec.16, T. 47 N., R. 6 W. Approx","Inoceramus vanuxemi Meek & Hayden, Baculites corrugatus Elias, Baculites undatus Stephenson Anomia cf. A. tellinoides Morton",,R. G. Dickinson,1963,,,,38.32719,-107.53498,,,02/18/2014,"Inoceramus vanuxemi Meek & Hayden, Baculites corrugatus Elias, Baculites undatus Stephenson Anomia cf. A. tellinoides Morton",,Mancos,Baculites corrugatus Elias,Y,Ammonite,1,F
49,837,778,5012,USA,CO,Larimer,Cretaceous,"Pierre Shale, about 13' below top of Sharon Springs Member.","Campanian, Middle",NA,maclearni,"NE¼NE¼ sec. 34, T. 11 N., R. 69 W.",Baculites mclearni,,G.R. Scott,23076,,Livermore,,40.88238,-105.09784,Map I-1700,,02/18/2014,Baculites mclearni,,Sharon Springs,Baculites mclearni,Y,Ammonite,1,F
50,408,310,7166,USA,CO,Moffat,Cretaceous,"Duffy Mountain section, from 50-ft zone of limestone concretions in upper part of Mancos Shale.","Campanian, Middle",NA,,"Center of the NW1/4 sec. 15, T. 5 N., R 93 W.",Baculites mclearni Landes,Inoceramus azerbaidjanensis,J. G. Gill ,25211,OF-69-18D,Axial ,,40.38754,-107.82456,,,02/18/2014,Baculites mclearni Landes,,Mancos,Baculites mclearni Landes,Y,Ammonite,1,F
51,450,583,7174,USA,CO,Rio Blanco ,Cretaceous,"Mancos Shale, about 25 feet below thick unit of thin-beded sandstone below Castlegate Sandstone.","Campanian, Middle",NA,,"NW1/4NE1/4 sec. 21, T. 3 N., R 100 W.",Baculites mclearni Landes,Inoceramus azerbaidjanensis,J. G. Gill ,25270,OF-69-18D,Divide Creek,,40.21992,-108.62007,,,02/18/2014,Baculites mclearni Landes,,Mancos,Baculites mclearni Landes,Y,Ammonite,1,F
52,844,800,6970,USA,CO,Grand,Cretaceous,"Pierre Shale, from buttress-forming shale in Sharon Springs Member.","Campanian, Middle",NA,,"SW1/4 sec. 18, T. 2 N., R. 80 W.",Baculites mclearni Landes,,G. A. Izett,6/18/1969,CD-69-6D,,Hinman Reservoir,40.13835,-106.40077,PP 684-A,,02/18/2014,Baculites mclearni Landes,,Sharon Springs,Baculites mclearni Landes,Y,Ammonite,1,F
53,866,878,6980,USA,CO,Grand,Cretaceous,"Pierre Shale, Sharon Springs Member.","Campanian, Middle",NA,,"SW1/4SW1/4 sec. 2, T. 2 N., R. 81 W.",Baculites mclearni Landes,,G. A. Izett and J. E. Peterson,6/26/1969,CD-69-6D,,Hinman Reservoir,40.16467,-106.442,PP 684-A,,02/18/2014,Baculites mclearni Landes,,Sharon Springs,Baculites mclearni Landes,Y,Ammonite,1,F
54,867,879,6989,USA,CO,Grand,Cretaceous,"Pierre Shale, Sharon Springs Member.","Campanian, Middle",NA,,"NE1/4NW1/4 sec. 25, T. 3 N., R. 81 W.",Baculites mclearni Landes,,G. A. Izett and J. E. Peterson,25269,CD-69-6D,,Hinman Reservoir,40.19985,-106.41449,,,02/18/2014,Baculites mclearni Landes,,Sharon Springs,Baculites mclearni Landes,Y,Ammonite,1,F
55,11487,638,2348,USA,CO,Pitkin,Cretaceous,"Mancos shale, from middle of clay shale unit between two ridge-forming sandstone; approximately 3,200 feet below the lowest coal of Mesaverde formation.",Campanian,NA,,"NE 1/4 sec. 26, T. 8 S., R. 89 W.",Inoceramus subcompressus Meek and Hayden Baculites n. sp. (E?),,A. D. Zapp,10/16/1959,"F-59-11D, 18D",,Stony Ridge,39.336,-107.2882,,,02/18/2014,Inoceramus subcompressus Meek and Hayden Baculites n. sp. (E?),,Mancos,Baculites n. sp. ,Y,Ammonite,1,F
56,13,27,13606,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Mbr., from large yellow-tan ls. Concretions 6.5 feet below top","Campanian, Middle  80.04 MY",NA,,"Just south of Platteville Boulevard N1/2N1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,34975,0,Northwest Pueblo  ,,38.33747,-104.62168,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
57,14,28,4845,USA,CO,Fremont,Cretaceous,Apache Creek Sandy Member,"Campanian, Middle  80.04 MY",NA,,"SW¼NW¼SE¼ sec. 9, T. 18S., R.70W.",Baculites obtusus,,G. R. Gill,23779,,Canon City ,,38.49499,-105.22596,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
58,15,29,13608,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Member, from orange, ferruginous ls. Concretions 29' below top","Campanian, Middle  80.04 MY",NA,,"South of Platteville Boulevard at CN1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,34975,0,Northwest Pueblo  ,,38.33657,-104.62185,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
59,25,787,4853,USA,CO,Fremont,Cretaceous,"Pierre Shale, Apache Sandy Member","Campanian, Middle  80.04 MY",NA,,"Four miles east of canon city, a little north of Highway 50, SE¼NE¼SE¼ sec. 25, T.18S, R.70W.",Baculites obtusus,,W.A. Cobban,4/23/1965,,Canon City ,,38.4512,-105.16417,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
60,29,835,13613,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from orange-yellow ls. Concretions near top of Apache Creek Silty Member","Campanian, Middle  80.04 MY",NA,,"Steele Hollow in area between the railroad tracks C E1/2SE1/4 sec. 12, T. 19 S., R. 65 W.",Baculites obtusus,Baculites obtusus,Cobban,1994,0,Pinon  ,,38.40728,-104.61052,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
61,30,839,13602,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from prominent, closely spaced, orange-yellow-weathering limestone concretions near top of Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,,"Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,10/14/1994,0,Northwest Pueblo  ,,38.32908,-104.6192,,,02/18/2014,Baculites obtusus,,Apache,Baculites obtusus,Y,Ammonite,1,F
