Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,species
95,348,13480,USA,WY,Big Horn,Cretaceous ,"Cloverly Formation, from lower part of rusty beds ",,NA,,"W1/2 NW1/4 sec. 1, T. 54 N., R. 95 W.",Plesielliptio,,W. A. Cobban ,8/27/1993,0,Spence   ,,44.69073,-108.24607,,,02/18/2014,Plesielliptio,,Plesielliptio
203,749,6352,USA,WY,Carbon,Cretaceous,"Lance Formation,  about 1,000 ft above base .",Maastrichtian,NA,,"NW¼NE¼ sec. 12, T. 21 N., R. 89 W",Plesielliptio postbiplicata (Whitfield),,James R. Gill,8/14/1967,OF-67-7D,Rawlins Peak,,41.81114,-107.39704,,,02/18/2014,Plesielliptio postbiplicata (Whitfield),,Plesielliptio postbiplicata 
310,1176,6609,USA,WY,Carbon,Cretaceous,"Medicine Bow Formation, middle part.",Campanian,NA,,"NE¼SE¼ sec. 34, T. 24 N., R. 85 W.",Plesielliptio postbiplicata (Whitfield),,E.A. Merewether,5/21/1905,OF-68-11D,Seminoe Dam SW,,42.00583,-106.96687,,,02/18/2014,Plesielliptio postbiplicata (Whitfield),,Plesielliptio postbiplicata 
313,1183,5489,USA,WY,Carbon,Cretaceous,"Medicine Bow formation, from lower part",Campanian,NA,,"SW¼SW¼ sec. 36, T. 25 N., R. 85 W.",Plesielliptio postbiplicata (Whitfield),,E. A. Merewether,1966,OF-66-13D,Wild Horse Mountain,,42.08888,-106.9574,,,02/18/2014,Plesielliptio postbiplicata (Whitfield),,Plesielliptio postbiplicata 
494,1793,4766,USA,WY,Carbon,Cretaceous,"Medicine Bow Fm., 400 ft above base.",Campanian,NA,,"NW¼ sec. 13, T. 23N., R. 80W. Same locality as (D4762 ).",Plesielliptio postbiplicata (Whitfield),,Gill & Givens,07/12/1964,OF-65-2D,,,41.96898,-106.36034,,,02/18/2014,Plesielliptio postbiplicata (Whitfield),,Plesielliptio postbiplicata 
679,2441,5945,USA,WY,Weston,Cretaceous.,"Greenhorn Fm., Colloid sec.",,NA,,"one mile west of Colloid NW¼ sec. 33, T. 48 N., R. 65 W.",Plicatula,,W.A. Cobban,08/06/1967,,,,44.10322,-104.67348,,,02/18/2014,Plicatula,,Plicatula
388,1430,13793,USA,WY,Natrona,Cretaceous,"Shell Creek Shale, from lenses of tan inoceramite in upper 6!",,NA,,"West of road SW1/4SW1/4 sec. 31, T. 30 N., R. 82 W.",Posidonia?,Posidonia goodrichensis,Cobban,08/08/1997,0,Alcova  ,,42.51979,-106.71581,,,02/18/2014,Posidonia?,,Posidonia?
472,1741,13792,USA,WY,Natrona,Cretaceous,"Shell Creek Shale, from thin hard tan lenses of inocermite about 45' above base",,NA,,"just north of Highway 220 NE1/4SW1/4 sec. 6, T. 32 n., R. 80 W.",Posidonia?,Posidonia goodrichensis,Cobban,08/10/1997,0,Goose Egg  ,,42.76593,-106.47953,,,02/18/2014,Posidonia?,,Posidonia?
446,1661,6949,USA,WY,Johnson,Cretaceous,"Frontier Fm, from a brown-weathering limestone concretions about 30 ft above the Soap Creek Bentonite Bed.","Cenomanian, Upper.  94.63 MY",NA,,"Wall Creek section NW1/4NE1/4 sec. 27, T. 42 N., R. 81 W.",possible Dunveganoceras pondi,,W. A. Cobban,6/25/1969,OER-72-4D,Wall Creek ,,43.58343,-106.56478,,,02/18/2014,possible Dunveganoceras pondi,,possible Dunveganoceras pondi
402,1467,6939,USA,WY,Johnson,Cretaceous,"Cody Sh., from zone of gray- H. A. Tourtelot yellow- weathering sept. ls. Concr. Above  Wall Creek sandstone",Campanian,NA,,"SE1/4NW1/4 sec. 27, T. 44 N., R. 82 W.",Prionocyclus,,W. A. Cobban,5/28/1969,0,Hibbard Draw,,43.7522,-106.68608,,,02/18/2014,Prionocyclus,,Prionocyclus
551,1985,5509,USA,WY,Carbon,Cretaceous,"Frontier Fm., lower part of Wall Creek sandstone Mbr.",,NA,,"Two miles northeast of Medicine Bow, in NW¼SW¼ sec. 34, T. 23 N., R. 78 W",Prionocyclus,,"W. A. Cobban, W. H. Cobban",8/22/1966,,Como Ridge,,41.92025,-106.16818,,,02/18/2014,Prionocyclus,,Prionocyclus
710,2558,10012,USA,WY,Weston,Upper Cretaceous,"Carlile Shale, Turner Sandy Member",,NA,,SW1/4NW1/4 Sec. 30 T46N R63W,"Prionocyclus, sp.",,Merewether,1976,O&G-76-12D,Newcastle,,43.9402,-104.4741,PP 1271 Cobban,,02/18/2014,,,Prionocyclus
565,2063,13301,USA,WY,Albany,Cretaceous ,"Basal 1-2"" of Turner equivalent in Frontier Formation",,NA,,"Beside Marshall road in the NE1/4 sec. 24, T. 22 N., R. 77 W.",Prionocyclus ,,W. A. Cobban ,7/14/1992,0,,,41.86979,-105.99985,,,02/18/2014,Prionocyclus ,,Prionocyclus 
558,2028,6929,USA,WY,Carbon,Cretaceous,"Frontier Fm.,from 22' below Wall Creek sandstone Mbr. And 2' above Greenhorn equivalent.","Turonian, Middle.   90.21 MY",NA,,"Union Pacific RR cut one mile west of Ridge Siding NW1/4SW1/4 sec. 19, T. 22 N., R. 77 W.",Prionocyclus macombi,,W. A. Cobban,5/20/1969,0,Como Ridge,,41.86157,-106.10925,,,02/18/2014,Prionocyclus macombi,,Prionocyclus macombi
4131,1518,9880,USA,WY,Natrona,Cretaceous,"Frontier formation, from yellowish flaggy somewhat concretionary sandstone forming alow ridge 17.5 feet above D9879.",,NA,,"SW-1/4NE-1/4 sec. 34, T. 33 N., R. 82 W.","Inoceramusincertus jimbo, prionocyclus reesidei sidwell",,Merewether and Cobban,6/18/1976,O&G-76-4D,Oil Mountain ,,42.78722,-106.65936,,,02/18/2014,"Inoceramusincertus jimbo, prionocyclus reesidei sidwell",,prionocyclus reesidei sidwell
333,1228,9830,USA,WY,Natrona,Cretaceous,"Frontier formation,15-20 ft below top.",,NA,,"NW-1/4 NE-1/4 sec. 16, T. 38 N., R. 84 W.",Prionocyclus wiomingensis meek,Prionocyclus germari,E.A.Merewether,03/10/1975,OER-75-36Dd,Flat Top Hill ,,43.26714,-106.92843,,,02/18/2014,Prionocyclus wiomingensis meek,,Prionocyclus wiomingensis meek
34,156,13015,USA,WY,Park,Cretaceous,Cody Shale,,NA,,"Oregon Basin in sec. 27, T. 51 N., R. 101 W.",Priotexanites shoshonensis,Protexanites bourgeoisi,Cobban,05.24.69,0,,,44.36815,-108.98642,,,02/18/2014,Priotexanites shoshonensis,,Priotexanites shoshonensis
6671,2426,874,USA,WY,Weston,Cretaceous,Belle Fourche shale from concretion 30 to 50 feet below top .,,NA,,"4.5 miles northwest of Upton ,in the SW1/4 sec.18,T.48 N.,R.65 W.","Fragment of large ammonite, probably a new genus and species.",,W.J.Mapel              ,04/04/1956,,,,44.13987,-104.71401,,,02/18/2014,"Fragment of large ammonite, probably a new genus and species.",3 CR-56,probably a new genus and species.
308,1164,6611,USA,WY,Carbon,Cretaceous,"Medicine Bow Formation, lower part.",Campanian,NA,,"NE¼SE¼ sec. 33, T. 24 N., R. 85 W",Proparreysia holmesiana (White),,E.A. Merewether,5/21/1905,OF-68-11D,Seminoe Dam SW,,42.00595,-106.98619,PP 667,,02/18/2014,Proparreysia holmesiana (White),,Proparreysia holmesiana 
665,2409,1148,USA,WY,Crook,Cretaceous,From carbonaceuos shale in basal foot of Fall River formatiom.,,NA,,"Center sec. 10, T. 52 N., R. 66 W.",Protelliptio douglassi,,N. M. Denson. W.J. Mapel.,1956,,"Missouri Buttes , ",,44.50637,-104.76963,,,02/18/2014,Protelliptio douglassi,MP-77-30,Protelliptio douglassi
44,180,3797,USA,WY,Park,Cretaceous,Cody shale,Campanian,NA,,"Oregon Basin. Beside road near a well NW1/4 SW1/4 sec. 20, T. 51 N., R. 100 W.",Protexanites ,Protexanites bourgeoisi,W. A. Cobban,7/24/1962,,,,44.37796,-108.91456,,,02/18/2014,Protexanites fauna,,Protexanites 
363,1332,6230,USA,WY,Carbon,cretaceous,"Lewis Shale, 30 ft above D6229",Maastrichtian,NA,,"A quarter of a mile east of Edson on north side of railroad in center SW¼ sec. 5, T. 21 N., R. 83 W.",Protocardia rara (Evans and Shumard),,J.R Gill and G.A. Bergman,6/24/1967,OF-67-7D,Walcott,,41.81547,-106.7855,,,02/18/2014,Protocardia rara (Evans and Shumard),,Protocardia rara 
498,1808,6238,USA,WY,Carbon,cretaceous,"Fox Hills Sandstone, same level as D 5585",,NA,,"S½NE¼  sec. 1, T. 22 N., R80W.",Protocardia subquadrata (Evans and Shumard),,Jame R. Gill,6/30/1967,OF-67-7D,Schnider Ridge,,41.909,-106.35049,,,02/18/2014,Protocardia subquadrata (Evans and Shumard),,Protocardia subquadrata 
140,518,4680,USA,WY,Washakie,Cretaceous,"Lewis Shale, 170 ft above base",Maastrichtian,NA,,"NE¼ sec. 36, T. 44 N, R. 90 W. same locality as D4679",Pseudobaculites natosini (Robinson),,Givens,8/21/1964,OF-64-12D,,,43.744,-107.6001,,,02/18/2014,Pseudobaculites natosini (Robinson),,Pseudobaculites natosini 
696,2498,12928,USA,WY,Weston,Cretaceous,"Niobrara Formation, lower part",,NA,,"SE1/4 sec. 29, T. 47 N., R. 64 W.44°1 ' 15 "" lat., 104°34 ' long",Pseudoperna congesta (Conrad),,Merewether and Cobban,06.23.88,SPR-88-2D-6D,,,44.02083,-104.56667,,,02/18/2014,Pseudoperna congesta (Conrad),U-88-3,Pseudoperna congesta 
757,2715,12926,USA,WY,Weston,Cretaceous,"Pierre Shale, near top of Gammon Ferruginous Member",Campanian,NA,,"Near bentonite pit about 1/4 mile northwest of Pedro Bentonite pit in the SE1/4SW1/4 sec. 5, T. 45 N., R. 62 W., 43°55 ' lat., 104°20 ' long.",Pseudoperna congesta (Conrad),,E. A. Merewether and W. A. Cobban,06.22.88,SPR-88-2D-6D,,,43.91667,-104.33333,,,02/18/2014,Pseudoperna congesta (Conrad),F-88-1,Pseudoperna congesta 
